subject,frame,kernel,shots,accuracy,gram_var
5,reference,HS-overlap,100000,0.5333333333333333,1.3344601428024068e-05
5,reference,HS-RBF,100000,0.4666666666666666,1.3344601428024068e-05
5,reference,HS-overlap,1000000,0.48148148148148134,1.3344601428024068e-05
5,reference,HS-RBF,1000000,0.4518518518518518,1.3344601428024068e-05
5,reference,HS-overlap,-1,0.4518518518518518,1.3344601428024068e-05
5,reference,HS-RBF,-1,0.4666666666666667,1.3344601428024068e-05
6,sensor,HS-overlap,100,0.6444444444444445,0.0022290446491962435
6,sensor,HS-RBF,100,0.6074074074074074,0.0022290446491962435
6,sensor,HS-overlap,1000,0.6,0.0022290446491962435
6,sensor,HS-RBF,1000,0.5333333333333333,0.0022290446491962435
6,sensor,HS-overlap,10000,0.4814814814814815,0.0022290446491962435
6,sensor,HS-RBF,10000,0.5185185185185185,0.0022290446491962435
6,sensor,HS-overlap,100000,0.5259259259259259,0.0022290446491962435
6,sensor,HS-RBF,100000,0.4592592592592592,0.0022290446491962435
6,sensor,HS-overlap,1000000,0.5333333333333333,0.0022290446491962435
6,sensor,HS-RBF,1000000,0.4888888888888889,0.0022290446491962435
6,sensor,HS-overlap,-1,0.5333333333333333,0.0022290446491962435
6,sensor,HS-RBF,-1,0.5037037037037037,0.0022290446491962435
6,reference,HS-overlap,100,0.5555555555555555,0.0006480355715196066
6,reference,HS-RBF,100,0.4814814814814815,0.0006480355715196066
6,reference,HS-overlap,1000,0.5333333333333333,0.0006480355715196066
6,reference,HS-RBF,1000,0.5037037037037037,0.0006480355715196066
6,reference,HS-overlap,10000,0.5037037037037037,0.0006480355715196066
6,reference,HS-RBF,10000,0.5185185185185186,0.0006480355715196066
6,reference,HS-overlap,100000,0.49629629629629624,0.0006480355715196066
6,reference,HS-RBF,100000,0.4444444444444444,0.0006480355715196066
6,reference,HS-overlap,1000000,0.5037037037037037,0.0006480355715196066
6,reference,HS-RBF,1000000,0.4962962962962963,0.0006480355715196066
6,reference,HS-overlap,-1,0.5333333333333333,0.0006480355715196066
6,reference,HS-RBF,-1,0.5333333333333333,0.0006480355715196066
