kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
Bures-RBF,4,2,0.39307981166053674,0.30785935103711176,0.09477738002099159,0.00013273711265799243,0.992362461106367,10.551040762875244,3
HS-overlap,8,3,0.9922201341433963,0.006477978191585345,4.1964201450655345e-05,0.960878644465113,0.9998361633809479,23829.83508397926,3
Fidelity,8,3,0.9831032475238178,0.013753147677748814,0.0001891490710459676,0.9331819009630404,0.9998005945221927,5286.835375242085,3
HS-RBF,8,3,0.4153258775800509,0.2826796098009956,0.07990776179724314,0.005808073434359122,0.9815874257109027,12.514428855326798,3
Bures-RBF,8,3,0.4174174333544176,0.2862389469478649,0.08193273474982261,0.006855595143852728,0.985488422980446,12.205133919347968,3
HS-overlap,16,4,0.9919489174453655,0.006808432396583047,4.635475169884158e-05,0.9529580347403633,0.9995913455082164,21572.761439794107,3
Fidelity,16,4,0.9801242625406014,0.014319794620383625,0.00020505651796996782,0.9310146380136868,0.9992666076880129,4876.704285725061,3
HS-RBF,16,4,0.4104622710530515,0.27353331171788003,0.07482047261935092,0.009219051922250908,0.9550585330112645,13.365325892653727,3
Bures-RBF,16,4,0.41188158708057887,0.261435258683873,0.06834839448310359,0.01654376760334215,0.9580564637952712,14.630921582908725,3
HS-overlap,32,5,0.97932330508116,0.016485368916826504,0.00027176738832386944,0.8936406139962313,0.9987574488766313,3679.6173601531777,3
Fidelity,32,5,0.9619351728672509,0.02227422629077275,0.0004961411568525521,0.8853089003368373,0.9966905296241421,2015.555424476082,3
HS-RBF,32,5,0.41310771356970394,0.2494825664546722,0.06224155096480994,0.026227143546183246,0.9338328959146266,16.066437685098478,3
Bures-RBF,32,5,0.4028495137926816,0.2154699822783517,0.0464273132630332,0.03592440612439121,0.9109889621717537,21.539045223972277,3
HS-overlap,64,6,0.9551429175123684,0.03694590554395919,0.0013649999364631544,0.7827439266949681,0.9974663289691769,732.6007667012028,3
Fidelity,64,6,0.9421097248161013,0.03236925045341097,0.0010477683749156464,0.8226670322528968,0.9932774840849433,954.4094133214394,3
