kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-RBF,8,3,0.4338964936265781,0.35494713006767714,0.12598746514328052,2.166439186691554e-07,0.998600530548912,7.937297562600691,47
Bures-RBF,8,3,0.43679825769332764,0.3531371719968879,0.12470586224595959,2.2612308891580024e-07,0.9980041695259692,8.018869217452522,47
HS-overlap,16,4,0.9715091155101382,0.034603989267331124,0.0011974360732135674,0.7695355236091164,0.9998810251536117,835.1176504281294,47
Fidelity,16,4,0.9864673697839808,0.01653921894626689,0.0002735457633525536,0.8885201802149684,0.9999499133405685,3655.695441026339,47
HS-RBF,16,4,0.42728956681879643,0.34968333825196113,0.12227843705103547,1.9600046554658123e-07,0.9953746790766237,8.178056770406945,47
Bures-RBF,16,4,0.43157251017606124,0.34529944652969036,0.11923170777371048,3.0469164404183066e-07,0.9934736155348012,8.387030754418927,47
HS-overlap,32,5,0.9743227495342704,0.02879350309644275,0.0008290658205648583,0.8024326757775782,0.9993322984021209,1206.1768501307665,47
Fidelity,32,5,0.9873774352854985,0.014730408754708366,0.00021698494208078888,0.9006961307132498,0.9998160538438954,4608.614728793831,47
HS-RBF,32,5,0.41649314894979134,0.3310233217582099,0.10957643954783938,4.474370502697591e-07,0.9856728380492771,9.126049396443616,47
Bures-RBF,32,5,0.4132739612467285,0.3191914544968986,0.10188318462384569,9.759033391437845e-07,0.9753250354910664,9.815162371416006,47
HS-overlap,64,6,0.9776110078440752,0.02048537388761798,0.00041965054331550054,0.8590741113300632,0.9985904973780741,2382.935077599036,47
Fidelity,64,6,0.9867703257384436,0.013276015582724624,0.00017625258975274705,0.9127328939127718,0.9996948069894717,5673.675498344921,47
HS-RBF,64,6,0.40435671733897594,0.30849340914597345,0.09516818348650498,2.6938744626643322e-06,0.9761793990946279,10.507713432838631,47
Bures-RBF,64,6,0.38904604471030724,0.26911745343840293,0.07242420374517097,3.884303222197252e-05,0.9658682227940149,13.807538754841705,47
HS-overlap,4,2,0.9891785750628705,0.008278519862929448,6.85338911209174e-05,0.9509579208616972,0.999593152562664,14591.320931065411,48
Fidelity,4,2,0.9798233859549187,0.012707247283295867,0.00016147413351883018,0.9052550433271447,0.9982597246271121,6192.942350629711,48
HS-RBF,4,2,0.38840989260361974,0.22990282656236682,0.052855309661365715,0.006172584634962003,0.9523641844859558,18.91957508917868,48
Bures-RBF,4,2,0.3792293748479969,0.19876218402222387,0.039506405797284386,0.0036950787155060325,0.9044565517927278,25.3123507395537,48
HS-overlap,8,3,0.9827271796909304,0.013447107753128901,0.0001808247069242594,0.8921314373000423,0.9985680922647717,5530.217728592045,48
Fidelity,8,3,0.9702075886320316,0.015741485602976942,0.0002477943689887303,0.9014991254710147,0.9950993053885651,4035.6042152252458,48
HS-RBF,8,3,0.38009364255320655,0.21668709599825994,0.046953297572159124,0.0015547025698370257,0.8939703831692793,21.297758660361872,48
Bures-RBF,8,3,0.3751607110898479,0.17627279136206844,0.031072096974575306,0.022729076711960786,0.8321528615124698,32.18321572625911,48
HS-overlap,16,4,0.9461069074157198,0.04355558447045379,0.0018970889385628354,0.8008190744185084,0.998000279475644,527.1234150769774,48
Fidelity,16,4,0.9229003444252679,0.050907413929579204,0.002591564792997515,0.7909246486281344,0.9920954971026296,385.8672577672106,48
HS-RBF,16,4,0.3831064390510084,0.27540461559972607,0.07584770229363288,0.006806778254798592,0.9455137801097413,13.184315012321026,48
Bures-RBF,16,4,0.3704789028447635,0.24989852582503763,0.062449273209527,0.025558081940957687,0.8770248370559977,16.01299660677947,48
HS-overlap,32,5,0.9305133309156506,0.03476024387175504,0.001208274554023884,0.7979828549362553,0.9939376119861663,827.6264667411286,48
Fidelity,32,5,0.9091092369898862,0.03829493244870734,0.0014665018512510582,0.7898142708912431,0.9803534112037543,681.8948091657095,48
HS-RBF,32,5,0.3884902691920501,0.18143894154521628,0.032920089509048414,0.06393755288648699,0.9062645854873219,30.37658812334456,48
Bures-RBF,32,5,0.38247782853335793,0.15774136980964243,0.024882339749422368,0.08078943975658824,0.7999671406656433,40.189146602389535,48
HS-overlap,64,6,0.9066912619501614,0.04388049713171685,0.0019254980285266104,0.7344293125006579,0.9862716725645554,519.3461562592195,48
Fidelity,64,6,0.8943106033715229,0.038097103331432826,0.00145138928224587,0.7160191956928024,0.9706714712983422,688.9950285788294,48
HS-RBF,64,6,0.37565855000122306,0.16750453791234768,0.02805777022122912,0.0250612367094986,0.867600004666645,35.64075092622215,48
Bures-RBF,64,6,0.38038844921700143,0.13035628851326878,0.016992761954954565,0.054204349565981524,0.7558106843692232,58.84858521827471,48
HS-overlap,4,2,0.9917860356765523,0.006568231298033338,4.314166238446471e-05,0.9486222149759821,0.9997504952472017,23179.449857270673,49
Fidelity,4,2,0.9873141206112858,0.008478758741449408,7.188934979570475e-05,0.9418089728340168,0.9995374894178303,13910.266302891894,49
HS-RBF,4,2,0.38292653926765374,0.23779018142981534,0.05654417038442449,0.0010284826035199257,0.9656739934393144,17.68528909702524,49
Bures-RBF,4,2,0.3827330011789446,0.21433109037813566,0.04593781630268056,0.003964795825610613,0.9576129612440863,21.768557595578354,49
HS-overlap,8,3,0.9929544916511284,0.005166925999728714,2.669712428667257e-05,0.9559933235287099,0.9993821841668982,37457.21783597526,49
Fidelity,8,3,0.9869653832088848,0.007428131955238804,5.5177144344439854e-05,0.9459369892155873,0.9984206691759356,18123.446073206742,49
HS-RBF,8,3,0.3731398985775124,0.2117150374505993,0.044823257082708665,0.0021122425450969097,0.9133058016499965,22.309846831406794,49
Bures-RBF,8,3,0.3724259222381112,0.1837585749835878,0.03376721387999886,0.00786950675254054,0.8696672475625487,29.61452501097001,49
HS-overlap,16,4,0.9901046294037897,0.006693664115811882,4.480513929530766e-05,0.9528523769456007,0.9990166271726197,22318.86823092028,49
Fidelity,16,4,0.9834532868104864,0.008831959094368683,7.800350144460171e-05,0.9348491047110156,0.9975301321089073,12819.93732948261,49
HS-RBF,16,4,0.3745591905330749,0.20701211562718813,0.042854016016444306,0.001481899587163162,0.8699906557714926,23.335035848595183,49
Bures-RBF,16,4,0.37170587451502907,0.172019052191856,0.02959055431698448,0.010876390105404395,0.8447939239765392,33.79456799922186,49
HS-overlap,32,5,0.9767189798912279,0.011443026173363246,0.0001309428480042763,0.9250684999963134,0.9970553063612999,7636.9195816433,49
Fidelity,32,5,0.9613571519313011,0.017670298142844994,0.0003122394364570312,0.9013188675446443,0.9894474875351932,3202.6703972661535,49
HS-RBF,32,5,0.3681327528428033,0.17083752850005599,0.029185461144007437,0.010329295597733034,0.7893747729451528,34.26363541304973,49
Bures-RBF,32,5,0.3605352409380014,0.15091967834787903,0.022776749312627263,0.05286758393497804,0.7354727536957302,43.90442140246972,49
HS-overlap,64,6,0.9393095045238952,0.036391773599814076,0.0013243611857401247,0.7863271713643177,0.9893060472984501,755.0810237927245,49
Fidelity,64,6,0.910511762802279,0.05307770117860468,0.0028172423624052523,0.7193951229311558,0.9815766371956569,354.95703647812496,49
HS-RBF,64,6,0.3575450415270813,0.17759968476744442,0.031541648029495634,0.005374118811000049,0.7894457736822713,31.70411384544229,49
Bures-RBF,64,6,0.3607578289832049,0.18957168604569508,0.035937424150207585,0.017409846797388145,0.781213788176967,27.82614568646606,49
HS-overlap,4,2,0.9938324885622162,0.007894397529956774,6.232151236098761e-05,0.9314594559583967,0.9999585967299213,16045.823699008723,50
Fidelity,4,2,0.9957795558397502,0.005533577724570667,3.0620482433864675e-05,0.9508727894541095,0.9999778488420022,32657.878665361965,50
HS-RBF,4,2,0.40787832657000506,0.32095753190711024,0.1030137372879037,2.876115408938414e-10,0.9903281811981857,9.707443165615778,50
Bures-RBF,4,2,0.4085341726262954,0.3214640296143771,0.1033391223359131,2.238665500918344e-10,0.9901544832165239,9.676877230962058,50
HS-overlap,8,3,0.9942909576969068,0.005853543178074661,3.4263967737584404e-05,0.9503356914364224,0.9997786257515793,29185.17807565796,50
Fidelity,8,3,0.995580418667106,0.005056010871766605,2.55632459354221e-05,0.9564261412859695,0.9998903269953361,39118.662885229875,50
HS-RBF,8,3,0.38588776929497653,0.28335660938743595,0.08029096808354397,5.248060924600385e-08,0.9617030505266578,12.454700994008254,50
Bures-RBF,8,3,0.3862067087492681,0.281301701167449,0.07913064707970077,6.236965972287678e-08,0.959543354751851,12.637328732985024,50
HS-overlap,16,4,0.9941670796073022,0.004756291707303742,2.2622310804966346e-05,0.9608968379757736,0.9995732057824658,44204.14910843091,50
Fidelity,16,4,0.9949963450219657,0.005323414584688544,2.8338742840474712e-05,0.9542382318495315,0.9997944567027347,35287.38044694606,50
HS-RBF,16,4,0.3839846514505658,0.26709354511760547,0.07133896184349035,4.431890279277692e-07,0.9385269018854963,14.017585540337514,50
Bures-RBF,16,4,0.3887577814605667,0.263353979276084,0.0693553184005481,9.506771652318784e-07,0.940293558436084,14.418504925962496,50
HS-overlap,32,5,0.9900241649606368,0.006094176946525296,3.713899265556039e-05,0.9558982452918854,0.9986169716776786,26925.87839617351,50
Fidelity,32,5,0.9919958141994094,0.005571289051414272,3.103926169440854e-05,0.9545950560742237,0.9988032002177671,32217.261152836683,50
HS-RBF,32,5,0.37127394351717397,0.22392087322812074,0.05014055746724412,2.7451008497209204e-05,0.8883116091606749,19.94393462125508,50
Bures-RBF,32,5,0.37195442028407455,0.1866655125127607,0.03484401356165162,0.0009947002263630705,0.8351209936947083,28.699334484835955,50
HS-overlap,64,6,0.98086373289549,0.009550462778891409,9.121133929099022e-05,0.9300950563236628,0.9952496850606479,10963.549135154286,50
Fidelity,64,6,0.9854282767369307,0.00631021061939026,3.9818758061065604e-05,0.9457062512859636,0.9947138408056884,25113.791808032063,50
HS-RBF,64,6,0.36320059810242766,0.18948071112820214,0.03590293988964918,0.000305547055612836,0.7936869313095956,27.852872301644023,50
Bures-RBF,64,6,0.359395150822752,0.13245079398569853,0.017543212827441954,0.014987703360703104,0.6677254294311379,57.00210160112468,50
HS-overlap,4,2,1.0,1.4865920679829413e-16,2.209955976589798e-32,0.9999999999999998,1.0000000000000004,inf,51
Fidelity,4,2,1.0,2.3094967933968323e-16,5.33377543871025e-32,0.9999999999999993,1.0000000000000007,inf,51
HS-RBF,4,2,1.0,1.4970244210116104e-17,2.241082117105147e-34,0.9999999999999999,1.0,inf,51
Bures-RBF,4,2,0.9999999999999998,2.635783481818254e-16,6.947354563025957e-32,0.9999999999999991,1.0,inf,51
HS-overlap,8,3,1.0,1.725731475203665e-16,2.978149124508618e-32,0.9999999999999996,1.0000000000000002,inf,51
Fidelity,8,3,1.0,2.5356292285842077e-16,6.429415584850545e-32,0.9999999999999993,1.0000000000000009,inf,51
HS-RBF,8,3,1.0,3.528520398997249e-18,1.2450456206139707e-35,0.9999999999999999,1.0,inf,51
Bures-RBF,8,3,1.0,3.1298592529043095e-16,9.796018942990721e-32,0.9999999999999989,1.0,inf,51
HS-overlap,16,4,1.0,1.2172116859982183e-16,1.481604288530625e-32,0.9999999999999998,1.0000000000000004,inf,51
Fidelity,16,4,1.0,2.44539447038896e-16,5.979954115808901e-32,0.9999999999999992,1.0000000000000009,inf,51
HS-RBF,16,4,1.0,0.0,0.0,1.0,1.0,inf,51
Bures-RBF,16,4,0.9999999999999998,2.787307782185379e-16,7.769084672631177e-32,0.9999999999999989,1.0,inf,51
HS-overlap,32,5,0.9992442103874145,0.001181646745249109,1.3962890305578124e-06,0.9948387639814358,1.0000000000000002,716184.0980735226,51
Fidelity,32,5,0.9996844973189335,0.0004750076524625618,2.256322698979939e-07,0.9979321593011624,1.0000000000000004,4431990.160149034,51
HS-RBF,32,5,0.4374647368504623,0.3996009866732491,0.1596809485502342,1.3164787514035202e-11,1.0,6.262487848920868,51
Bures-RBF,32,5,0.44192132626256453,0.39729499647852506,0.15784331422687123,7.156520435924572e-10,1.0,6.33539662353187,51
HS-overlap,64,6,0.9974058955608031,0.003125346288045947,9.76778942020258e-06,0.9819101835733934,0.9999911390162528,102377.30943827619,51
Fidelity,64,6,0.9992289034401074,0.0008939330845607051,7.991163596722166e-07,0.9947991890056327,0.9999960283454447,1251382.2147380167,51
HS-RBF,64,6,0.40580220883467966,0.32548117474481225,0.10593799511326302,1.1225311054443214e-06,0.9935327011981379,9.439483906891532,51
Bures-RBF,64,6,0.4001423297491672,0.31512283509512046,0.09930240119838649,3.7730923791831856e-06,0.9905213141659186,10.070249942921304,51
HS-overlap,4,2,0.9806331861802134,0.01735749400457907,0.00030128259811899833,0.874073238603315,0.9994585922967721,3319.1429118153965,52
Fidelity,4,2,0.9724631915442106,0.022191825058780583,0.0004924770994395218,0.8660121236436513,0.9993146923232196,2030.5512705830986,52
HS-RBF,4,2,0.39893386096958894,0.26416511835438083,0.06978320975518403,0.0002730504410286182,0.9647474105588,14.330094638928706,52
Bures-RBF,4,2,0.392712000029934,0.2509611069187302,0.06298147718587434,0.0016477734629450763,0.9688507381281705,15.877684117327798,52
HS-overlap,8,3,0.9716237608047182,0.02133467342556285,0.00045516829017541776,0.883191198072641,0.998656671635766,2196.989600515908,52
Fidelity,8,3,0.9611953836964422,0.02442630531785635,0.0005966443914811375,0.8571650369906013,0.9978125177529998,1676.0402247602697,52
HS-RBF,8,3,0.37543621212834516,0.22961716716178066,0.052724043455401125,0.002166961123702655,0.928664268918827,18.966678852047693,52
Bures-RBF,8,3,0.3801750653466499,0.20840679951237012,0.04343339408298924,0.011653626446203913,0.936420334869134,23.023759047917732,52
HS-overlap,16,4,0.9716682401956078,0.022507167836977093,0.0005065726040418562,0.8622453659559044,0.9987556606819752,1974.0506928743698,52
Fidelity,16,4,0.9575272021578484,0.02786164971246533,0.0007762715247001193,0.8193641995301782,0.9965222502332233,1288.2090456510161,52
HS-RBF,16,4,0.37606149023272956,0.23022581884229842,0.05300392766160681,0.0015645986717400134,0.9246308511058761,18.866526389974418,52
Bures-RBF,16,4,0.3827113441042739,0.20522493937139144,0.04211727573999129,0.005603682057018998,0.9092237388783151,23.743226085501007,52
HS-overlap,32,5,0.935058790235247,0.046438489188576716,0.0021565332781175567,0.7280433864262661,0.9961882961424573,463.70719624271345,52
Fidelity,32,5,0.9273887940037855,0.04332986547991526,0.001877477242507552,0.7305672542912192,0.98928250877824,532.6296252008912,52
HS-RBF,32,5,0.3744961082717856,0.22972362495103787,0.052772943860645107,0.0018171364771724368,0.8902134026020555,18.949103969652523,52
Bures-RBF,32,5,0.37302809690555144,0.18432287657583832,0.03397492282919173,0.010324247752315857,0.8443769007274153,29.433473772037125,52
HS-overlap,64,6,0.8950038440127824,0.0658542812128081,0.00433678635405561,0.6322548054959857,0.9941182841579865,230.58548850690678,52
Fidelity,64,6,0.9007616615358712,0.05471297011017142,0.0029935090982765116,0.6668424226240062,0.9834149175606564,334.0561084567078,52
HS-RBF,64,6,0.39031177315238363,0.23859483338730164,0.056927494519114226,0.0026246172489248903,0.9087235105599808,17.56620431739246,52
Bures-RBF,64,6,0.372454405937695,0.17761738421752615,0.03154793517627631,0.01633943081467199,0.8296039144546957,31.697795574018695,52
HS-overlap,4,2,0.9954119933754529,0.012446154430953957,0.00015490676011915483,0.9217500255100756,0.9999834632356278,6455.49619158516,53
Fidelity,4,2,0.9940719011539334,0.012502454063109153,0.00015631135760015455,0.9165421212068271,0.9999805138277266,6397.487779218234,53
HS-RBF,4,2,0.38231605472286434,0.26773725152778105,0.07168323585565028,6.5533150338931484e-18,0.9909261804940014,13.95026309936282,53
Bures-RBF,4,2,0.39747255764731027,0.28253888579061576,0.07982822198380263,2.088935680880783e-15,0.9923056796932279,12.52689807124732,53
HS-overlap,8,3,0.9892216153790383,0.019537030364226864,0.00038169555545272254,0.8695970719189653,0.9996730049965855,2619.8890338503343,53
Fidelity,8,3,0.9856912947956809,0.02049719056556147,0.0004201348210809422,0.8714613184477507,0.9994772085275548,2380.188334371224,53
HS-RBF,8,3,0.38128724273941916,0.23984125484512658,0.05752382752568496,5.543057230694442e-09,0.9455487567187947,17.384100519971312,53
Bures-RBF,8,3,0.3728338010577271,0.2163304023898579,0.04679884299815784,3.2173933080821414e-07,0.942905496588979,21.368049634033973,53
HS-overlap,16,4,0.9918050815935152,0.015344974262634163,0.0002354682351209049,0.8948136057840304,0.9994702219324132,4246.857328703101,53
Fidelity,16,4,0.9872915011643824,0.018033421566477036,0.00032520429339427903,0.883130899694121,0.9986228938721814,3074.990153305251,53
HS-RBF,16,4,0.37178027296130783,0.22509124376027645,0.05066606801754819,2.6540448397573037e-09,0.9050367432544238,19.737075307553965,53
Bures-RBF,16,4,0.37464057153849395,0.20113083851948496,0.04045361420355114,4.4126390884419624e-07,0.8459493474139326,24.71967016267775,53
HS-overlap,32,5,0.9845483729096991,0.01626747612342451,0.00026463077942618653,0.884099060616613,0.9976665985740059,3778.8499212690035,53
Fidelity,32,5,0.9718493124032485,0.018293113223034233,0.00033463799139074986,0.869612406788026,0.9927801891903161,2988.303855889216,53
HS-RBF,32,5,0.357268181217096,0.18876721895293347,0.035633062951224724,4.081702318691747e-05,0.8361912041259013,28.0638237967031,53
Bures-RBF,32,5,0.36590578494537473,0.1529727657517388,0.023400667061736345,0.0037465787620858592,0.7412158871840727,42.73382452567569,53
HS-overlap,64,6,0.9481546600193028,0.028634527705496203,0.0008199361769168297,0.8209433845178568,0.9886458741277441,1219.6071208374492,53
Fidelity,64,6,0.9456874060568699,0.020646919686802625,0.00042629529255327786,0.8582025857147082,0.9811499109437599,2345.791796129255,53
HS-RBF,64,6,0.3655823406252691,0.1746575005601956,0.030505242501934725,0.009709999656069864,0.7816590362196176,32.78125063049662,53
Bures-RBF,64,6,0.36116566753095913,0.12697334556010878,0.016122230482726797,0.05377038499466334,0.6865625919980833,62.02615705509175,53
HS-overlap,4,2,0.9654423851491619,0.03139495060815404,0.0009856429236884316,0.7775380353912892,0.9989649184043362,1014.5662044199962,54
Fidelity,4,2,0.9612533891772661,0.031739334256401686,0.0010073853390395935,0.7807993452833337,0.9986359463587856,992.6688043260244,54
HS-RBF,4,2,0.3916441633206223,0.2656307213951442,0.07055968014890474,8.725410963544733e-05,0.9628275965516913,14.172399844920818,54
Bures-RBF,4,2,0.3875335257588175,0.2494202424866782,0.062210457362113364,0.00041854687803446545,0.9554193977030087,16.074467901420824,54
HS-overlap,8,3,0.9621507682927781,0.03111722307375275,0.0009682815718216905,0.7627341979003028,0.9976645916973519,1032.7574427742497,54
Fidelity,8,3,0.9551151191050244,0.031056218426371265,0.0009644887029464822,0.7786806017634755,0.9961480944567277,1036.8187796757306,54
HS-RBF,8,3,0.3777918465637617,0.2298151700261432,0.05281501237414511,0.0001515587010451246,0.9193446455163208,18.934010521779914,54
Bures-RBF,8,3,0.36982305045455277,0.2077764405535782,0.043171049249114614,0.0015623089935418216,0.8994691817429994,23.163671427803177,54
HS-overlap,16,4,0.9580768688982629,0.035322284689411794,0.0012476637956798547,0.748087315601716,0.9977076529296338,801.4979704168604,54
Fidelity,16,4,0.9495062172020717,0.03661232165789669,0.0013404620971812914,0.75017462683034,0.995230706435373,746.0113956991315,54
HS-RBF,16,4,0.37179914601962416,0.2314398246671236,0.05356439244194891,8.958968877001615e-05,0.9408604093304866,18.66911868894551,54
Bures-RBF,16,4,0.3656037447434983,0.20897712268403512,0.043671437805298266,0.001185290961702729,0.8867777197673266,22.898261432525562,54
HS-overlap,32,5,0.9351960802298739,0.04620566621120952,0.002134963590021709,0.6822578910885956,0.9924258661691238,468.3920628313065,54
Fidelity,32,5,0.9319782231668274,0.04559720010254253,0.002079104657191304,0.7194230327297723,0.9891219476616367,480.97626857847365,54
HS-RBF,32,5,0.368088563217953,0.21872464377106482,0.04784046979277921,0.00024001846822678004,0.882085392921174,20.90280476616337,54
Bures-RBF,32,5,0.36068005885692916,0.1934738259055034,0.037432121310513045,0.003929688395487569,0.8195518444273518,26.71502348757199,54
HS-overlap,64,6,0.9083130153401862,0.057520163110330244,0.003308569164238996,0.6678857177237604,0.9865382181440007,302.2454572836503,54
Fidelity,64,6,0.9145841284507529,0.05212667719393952,0.002717190475281174,0.7051021350740705,0.9801318796904603,368.0271990856733,54
HS-RBF,64,6,0.355338408924905,0.2180047711265692,0.047526080233947825,0.0009264902826913579,0.8567485544598532,21.041078815620505,54
Bures-RBF,64,6,0.3469530209047287,0.1762411016566909,0.031060925913164054,0.009304410897630731,0.7472773865124275,32.194790419180194,54
HS-overlap,4,2,1.0,1.4069905958378732e-16,1.9796225367762132e-32,0.9999999999999999,1.0000000000000004,inf,55
Fidelity,4,2,1.0,2.2455366315174155e-16,5.042434763486581e-32,0.9999999999999993,1.0000000000000007,inf,55
HS-RBF,4,2,1.0,2.3405556457178006e-17,5.478200730701471e-34,0.9999999999999998,1.0,inf,55
Bures-RBF,4,2,0.9999999999999998,2.8316238798177226e-16,8.018093796753971e-32,0.9999999999999987,1.0,inf,55
HS-overlap,8,3,0.9956506884299984,0.007105921621166372,5.0494122086159726e-05,0.9753270559225801,1.0000000000000002,19804.285304607696,55
Fidelity,8,3,0.9981244104068687,0.003017187000660257,9.103417396953239e-06,0.9896111385526728,1.0000000000000007,109848.85745595749,55
HS-RBF,8,3,0.9988860370868586,0.0018295077254188755,3.3470985173673477e-06,0.9936161962264198,1.0,298766.2283650221,55
Bures-RBF,8,3,0.9981275614112133,0.003010599341854851,9.063708397176862e-06,0.9896380738829454,1.0,110330.1161268027,55
HS-overlap,16,4,0.9852124563370948,0.019344720831366815,0.00037421822404351725,0.9056049041495273,0.9999957319217602,2672.2375762322886,55
Fidelity,16,4,0.9951846864948689,0.006220282828584833,3.869191846758734e-05,0.9685828600118013,0.9999980253151365,25845.190406821297,55
HS-RBF,16,4,0.4315621761300903,0.37182649133111695,0.1382549396556092,1.0214151338731684e-07,0.9993837694155595,7.233014621329145,55
Bures-RBF,16,4,0.437604858725784,0.36471043375385737,0.1330137004889268,1.0493386978744522e-06,0.9991418892328515,7.518022551994549,55
HS-overlap,32,5,0.979391782659487,0.024395597506781393,0.0005951451777128784,0.8812829106832829,0.9998864979400796,1680.2622913672326,55
Fidelity,32,5,0.9948998473306374,0.005977749595944185,3.573349023181086e-05,0.9691746132098719,0.9999578540265107,27984.951750102893,55
HS-RBF,32,5,0.39753033814744215,0.33330909645559553,0.11109495378004547,7.334462882491612e-07,0.990477760266936,9.00130893415626,55
Bures-RBF,32,5,0.38737331114425055,0.3143311142648799,0.09880404939500101,3.512130084708859e-06,0.9831058498143106,10.121042671056708,55
HS-overlap,64,6,0.9496409111514896,0.04565137082273364,0.0020840476579947367,0.7450786292396083,0.9986984554096093,479.83547600931377,55
Fidelity,64,6,0.9882454464681323,0.011365670420023085,0.00012917846409658774,0.9273020650560845,0.999652734513817,7741.228439225692,55
HS-RBF,64,6,0.37280577481008226,0.27085638089195263,0.07336317906988653,1.892694906821391e-05,0.9737070706841126,13.630816067108945,55
Bures-RBF,64,6,0.3824462599422957,0.2452683562038734,0.06015656655495012,0.00012084941092935959,0.9585847286296691,16.623289148102366,55
HS-overlap,4,2,0.9958437684389932,0.00395166637086854,1.561566710665334e-05,0.9686298843369939,0.999918750849895,64038.25037829679,56
Fidelity,4,2,0.9920538847375647,0.005932772618946711,3.519779094812382e-05,0.9673985547707815,0.9997716815170034,28410.873894723896,56
HS-RBF,4,2,0.38596986859632115,0.24736674190748614,0.061190305001924856,0.0002159835440033532,0.9631861993095209,16.342458171577068,56
Bures-RBF,4,2,0.3885963572793075,0.23674558724139463,0.0560484730782728,0.005896900754728648,0.9649712597879718,17.841699248496568,56
HS-overlap,8,3,0.9946497637120265,0.00437935844173444,1.91787803611907e-05,0.9627852396362983,0.9997494814791861,52140.95897482376,56
Fidelity,8,3,0.9883763940610857,0.007184371333599798,5.161519145905054e-05,0.9522811835479255,0.9988942449319735,19374.14105677319,56
HS-RBF,8,3,0.37649616701056576,0.22248243223556918,0.04949843265345464,0.0012283585002021847,0.9467317287441966,20.20265989028659,56
Bures-RBF,8,3,0.3742808656035303,0.19573771984151062,0.0383132549687537,0.007474364341257725,0.8939379141782017,26.10062759782608,56
HS-overlap,16,4,0.9930110643473199,0.005445967627937363,2.9658563404541705e-05,0.9536753896009771,0.9995515856605074,33717.07477398811,56
Fidelity,16,4,0.9849110805907223,0.008438100653108722,7.120154263199383e-05,0.9498434715363487,0.9978467142938143,14044.639526541074,56
HS-RBF,16,4,0.36968383389689863,0.21238310923831913,0.0451065850897358,0.002149795339112735,0.8926000946553686,22.169711983529304,56
Bures-RBF,16,4,0.37118048681917104,0.17935449048581942,0.03216803325742788,0.02086877476706656,0.8486560213550954,31.086762190196726,56
HS-overlap,32,5,0.9822421639942942,0.01051329538215659,0.0001105293797924751,0.9359021549282427,0.9972983298453223,9047.368237092745,56
Fidelity,32,5,0.9652952191561113,0.014584775767569991,0.00021271568419029682,0.8889818942035486,0.9907743543229087,4701.110798700643,56
HS-RBF,32,5,0.3742148268553968,0.18849550037399804,0.03553055366124389,0.007312291225255243,0.8523653528784036,28.14479080551966,56
Bures-RBF,32,5,0.3638357465109786,0.13643277094031755,0.018613900986453158,0.027526347606070846,0.7477477295702558,53.723289960969545,56
HS-overlap,64,6,0.9605243238204402,0.02336797273361929,0.0005460621496791747,0.8557249810968487,0.9939755879682304,1831.2933804101333,56
Fidelity,64,6,0.935308247439715,0.02292618786626669,0.0005256100900793541,0.830270122007535,0.9817154585386748,1902.5509952615728,56
HS-RBF,64,6,0.3712340152067962,0.1786844545043039,0.03192813428150065,0.003046933360723986,0.8368350821508761,31.32033933405892,56
Bures-RBF,64,6,0.3687878327236384,0.12135099979548804,0.014726065151364537,0.057092245702864,0.7437155324453589,67.9068026469609,56
HS-overlap,4,2,0.9918662559616278,0.006090234292827808,3.709095374153583e-05,0.9646874582036393,0.9997078245224064,26960.75185794327,57
Fidelity,4,2,0.9889149094831486,0.007938917003007353,6.302640318063927e-05,0.9505063859311912,0.9996634951674006,15866.366308956442,57
HS-RBF,4,2,0.39005416786612157,0.2412276611347139,0.05819078449652436,0.0047302899999250815,0.9613227685704462,17.18485166770227,57
Bures-RBF,4,2,0.3936117240326423,0.23261696505103643,0.05411065242955511,0.004575699924909923,0.9644762769314771,18.48064946734596,57
HS-overlap,8,3,0.9902751398104523,0.006359394620673804,4.0441899941454916e-05,0.9614867372569577,0.9994226811983449,24726.830377594386,57
Fidelity,8,3,0.9841467706501427,0.009681836968585813,9.373796708627491e-05,0.9306542405824957,0.9987007051885741,10668.03592059572,57
HS-RBF,8,3,0.37965866608342025,0.21617124064566168,0.046730005282284576,0.005107144523674225,0.9445470440270749,21.399526791389036,57
Bures-RBF,8,3,0.37927045284748007,0.20029179692375018,0.040116803914944786,0.005736276583770781,0.9093526943051085,24.927210106771945,57
HS-overlap,16,4,0.989621474543978,0.006627891545528802,4.392894633929218e-05,0.961035159831838,0.9987984475743794,22764.033361427373,57
Fidelity,16,4,0.9817085697839514,0.010717383604167612,0.00011486231131888076,0.9265602347373524,0.9981393551825558,8706.075896590657,57
HS-RBF,16,4,0.37654435886332,0.20875344391848757,0.04357800034782913,0.005819574448386302,0.893801085870028,22.947358575846533,57
Bures-RBF,16,4,0.3735690416980723,0.19361054702403466,0.037485043918945936,0.008577042741053415,0.8883732737360418,26.677306345493527,57
HS-overlap,32,5,0.9777003693812906,0.012468588950756847,0.00015546571042293576,0.9352656220775247,0.996914387286247,6432.28656196634,57
Fidelity,32,5,0.9642382592011898,0.01871521503333399,0.0003502592737439306,0.8957695719201739,0.9946653157965951,2855.027903504092,57
HS-RBF,32,5,0.3714098012698694,0.1900268288264096,0.03611019567382157,0.012286808478190114,0.8521270911279774,27.69300972591958,57
Bures-RBF,32,5,0.37795547639032534,0.18140141023083048,0.032906471633734044,0.036238906731571305,0.8474902238905482,30.38915904234627,57
