subject,frame,kernel,mean,std,var,shots_for_1sigma
10,reference,Fidelity,0.7646035919956982,0.03700445562740071,0.0013693297362802682,730.2842942098532
10,reference,Bures-d2,0.2516844368808219,0.04250952526274946,0.0018070597380643344,553.3851366038228
10,reference,QRE,0.5537341032096479,0.09801160376224714,0.009606274472047737,104.09862875663111
11,sensor,HS-overlap,0.9473774392752635,0.04201611342600071,0.0017653537874265568,566.4586935051411
11,sensor,Fidelity,0.9770191484211919,0.01664629688744142,0.00027709920006484197,3608.8159033515694
11,sensor,Bures-d2,0.023187025650923166,0.01694278990966521,0.00028705812992305325,3483.61497466751
11,sensor,QRE,0.05096158487156148,0.0362742723080222,0.0013158228314765462,759.9807330276017
11,reference,HS-overlap,0.556267609338775,0.15457065252292831,0.023892086621363842,41.854862484292994
11,reference,Fidelity,0.7474565179203667,0.09580861275077285,0.009179290277227555,108.94088429481856
11,reference,Bures-d2,0.27495821537091025,0.11856185290872931,0.014056912965151165,71.1393748029261
11,reference,QRE,0.624440507771772,0.30618739809092654,0.09375072274969154,10.666584434446829
12,sensor,HS-overlap,0.9205331252487949,0.05888990500760734,0.0034680209118050156,288.3488956470928
12,sensor,Fidelity,0.9544579473083342,0.03354330270898423,0.0011251531566265488,888.7678927180147
12,sensor,Bures-d2,0.046383350657571196,0.034839297429745196,0.00121377664539825,823.8748074378148
12,sensor,QRE,0.1037083876010138,0.0771421214682476,0.005950906904621867,168.04161382920208
12,reference,HS-overlap,0.695581461375523,0.10951311273751801,0.01199312186146033,83.38112557777646
12,reference,Fidelity,0.8389429176948267,0.06738991360949681,0.004541400456295444,220.19639307821134
12,reference,Bures-d2,0.16973362343368342,0.07678972320638293,0.005896661590112904,169.58748347992832
12,reference,QRE,0.3689674085038207,0.17558871758308872,0.03083139774247369,32.434468536027104
13,sensor,HS-overlap,0.8571853157263664,0.1105211384709758,0.012214922048920607,81.86707995311086
13,sensor,Fidelity,0.8910281362190318,0.06596079728966332,0.004350826779088056,229.84137286421745
13,sensor,Bures-d2,0.11346698682355327,0.07145442653565696,0.005105735071539598,195.8581841768882
13,sensor,QRE,0.2672448904525653,0.16021217210055233,0.025667940089176996,38.95910604924836
13,reference,HS-overlap,0.6970177512023207,0.10296089935688113,0.010600946796377806,94.33119694003992
13,reference,Fidelity,0.841147991638751,0.04789635451784486,0.0022940607760990775,435.9082420215755
13,reference,Bures-d2,0.1664790421788422,0.05284755231406965,0.0027928637855883284,358.05541436004756
13,reference,QRE,0.3618374894617749,0.1225831198517561,0.01502662127259,66.54855951045336
14,sensor,HS-overlap,0.9549024287155632,0.024682038881158577,0.0006092030433310238,1641.488845052647
14,sensor,Fidelity,0.9446600406231691,0.028452003245287304,0.0008095164886698393,1235.3052890166011
14,sensor,Bures-d2,0.056353876822528445,0.02966328285709464,0.0008799103498600048,1136.4794153848761
14,sensor,QRE,0.1314390344031846,0.06477291813690404,0.004195530923970073,238.3488569436494
14,reference,HS-overlap,0.643704495248374,0.059237421822438366,0.003509072144169497,284.97561717605356
14,reference,Fidelity,0.7908927171335443,0.032750487809601894,0.0010725944517668822,932.3188259576604
14,reference,Bures-d2,0.22174355906692791,0.03707962802160031,0.0013748988142202468,727.3262509627917
14,reference,QRE,0.48857343093889466,0.08776932498848394,0.007703454408934111,129.81189306971768
15,sensor,HS-overlap,0.9689792368085572,0.02042876237227007,0.00041733433206267743,2396.160399882497
15,sensor,Fidelity,0.9599322060116674,0.01910472904656422,0.0003649906719426346,2739.7960465060037
15,sensor,Bures-d2,0.04057571554492249,0.01962899728437939,0.00038529753439017344,2595.3968316530804
15,sensor,QRE,0.10180746808012031,0.04786440456013624,0.002291001223896391,436.49038227018616
15,reference,HS-overlap,0.6289745551065214,0.13657671159943524,0.018653198151315307,53.610109745683815
15,reference,Fidelity,0.7914086310657354,0.0658275581189178,0.004333267407899501,230.77274164456378
15,reference,Bures-d2,0.2223869614767749,0.07567304364943382,0.005726409535169117,174.62949407625055
15,reference,QRE,0.49479776073685905,0.18732165752000077,0.03508940337604046,28.498632173461637
16,sensor,HS-overlap,0.9720375337285164,0.01475209502717653,0.00021762430769084652,4595.074928029563
16,sensor,Fidelity,0.9601735717767825,0.02345605840966937,0.0005501866761178212,1817.564916431841
16,sensor,Bures-d2,0.04037954582940027,0.024123903153085224,0.0005819627033394352,1718.323174770086
16,sensor,QRE,0.0904324618098129,0.05142114005911682,0.0026441336449793086,378.195709546983
16,reference,HS-overlap,0.6557788038220344,0.0860151262975425,0.007398601951982188,135.16067041991442
16,reference,Fidelity,0.813044765713435,0.03991331921537394,0.0015930730507883381,627.7176049806042
16,reference,Bures-d2,0.19716717100710407,0.04441681617598985,0.001972853559211674,506.8799938701921
16,reference,QRE,0.43293837942417074,0.10459187742904245,0.01093946082413184,91.41218347745766
17,sensor,HS-overlap,0.9147655788993008,0.04068675045345432,0.0016554116624616657,604.0793493703908
17,sensor,Fidelity,0.9059656375565257,0.03316256230716201,0.0010997555387764024,909.2929880695202
17,sensor,Bures-d2,0.09667679192847574,0.034975932330847725,0.001223315842412039,817.4503798040233
17,sensor,QRE,0.22875540957704898,0.08050993389296018,0.006481849455448819,154.27695550062072
17,reference,HS-overlap,0.6996468898875158,0.07049914287797808,0.004970129146529568,201.2020151826956
17,reference,Fidelity,0.8341504413362392,0.0325439611173636,0.0010591094052084741,944.1895191207002
17,reference,Bures-d2,0.17371756612232853,0.0359755063175641,0.0012942370548050944,772.6559800519658
17,reference,QRE,0.37460951362921824,0.08272047846097388,0.0068426775568124435,146.14162244199545
18,sensor,HS-overlap,0.9782883452788601,0.02389535797042813,0.0005709881325349031,1751.3498845597678
18,sensor,Fidelity,0.9946623638030123,0.0067502650437426285,4.556607816077367e-05,21946.150302241
18,sensor,Bures-d2,0.0053563921550036035,0.006806827098261645,4.633289514562905e-05,21582.937929022075
18,sensor,QRE,0.011499365465744957,0.014095580269314465,0.00019868538312868724,5033.082878332859
18,reference,HS-overlap,0.7403762127553878,0.025616405158071346,0.0006562002132224642,1523.9251372522508
18,reference,Fidelity,0.8535091417740933,0.014170108343836238,0.00020079197047605737,4980.278831016507
18,reference,Bures-d2,0.15235241535079155,0.015328732378090782,0.00023497003631912868,4255.861792700379
18,reference,QRE,0.32456822881510183,0.03335668690037707,0.001112668560969787,898.7402314382043
19,sensor,HS-overlap,0.8582304837947274,0.12936128651399084,0.01673434244855483,59.757352466894176
19,sensor,Fidelity,0.895541137515737,0.0724404355221701,0.005247616698641683,190.5626987311868
19,sensor,Bures-d2,0.10901102237477939,0.07953135584704826,0.006325236562869817,158.0968537793772
19,sensor,QRE,0.2514491473714793,0.18098408516981765,0.032755239084755805,30.52946728346114
19,reference,HS-overlap,0.7168347486874265,0.06224588432887356,0.003874550115883507,258.0944806728798
19,reference,Fidelity,0.8432399894565061,0.034325431546415694,0.0011782352508476696,848.7269408045295
19,reference,Bures-d2,0.1638254830565756,0.03772401295735253,0.0014231011536065016,702.6907380868498
19,reference,QRE,0.35339564121357103,0.08796314105897436,0.0077375141849610205,129.24047389065146
20,sensor,HS-overlap,0.9894918601043533,0.00847242728158773,7.178202404179206e-05,13931.064404338782
20,sensor,Fidelity,0.9979522099705476,0.0015401126861608438,2.37194708607357e-06,421594.56501846405
20,sensor,Bures-d2,0.002049434993464261,0.001542618635469171,2.379672254496767e-06,420225.9357818464
20,sensor,QRE,0.004461030277079844,0.0031981336246296355,1.0228058680986691e-05,97770.26424955268
20,reference,HS-overlap,0.5967560795375323,0.061555995741088644,0.0037891406116769234,263.91208521486874
20,reference,Fidelity,0.7453728715987402,0.03221523888398769,0.0010378216163523925,963.556727132623
20,reference,Bures-d2,0.27370985800331055,0.0376009579666568,0.0014138320400102914,707.2975938448254
20,reference,QRE,0.606632912602443,0.08763635280259337,0.007680130332540614,130.20612368555945
21,sensor,HS-overlap,0.8241155267189445,0.166394802166625,0.027687230188070275,36.11773345355704
21,sensor,Fidelity,0.8684789606150922,0.1210433101059328,0.014651482921401013,68.2524769243206
21,sensor,Bures-d2,0.1410204353848672,0.1345764496622585,0.018110820803698403,55.21560899082997
21,sensor,QRE,0.34993956563169026,0.3441892636529971,0.11846624921399236,8.441222767116082
21,reference,HS-overlap,0.4849319337557704,0.3003778711936644,0.09022686550283762,11.083173447586407
21,reference,Fidelity,0.7018767582783794,0.15645779619785766,0.024479041991090366,40.85127189062259
21,reference,Bures-d2,0.33525443827697765,0.19007695240879346,0.03612924783701473,27.678406273808204
21,reference,QRE,0.995679504613851,0.6870354444314338,0.4720177019050978,2.1185646130726186
22,sensor,HS-overlap,0.9458492060926277,0.030377378699175978,0.0009227851366331504,1083.6758854272118
