subject,draw,n_train,n_test,pipeline,group,accuracy,best
3,4,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.875,"{""clf__C"": 1.0, ""clf__gamma_mult"": 0.25}"
3,4,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.875,"{""clf__C"": 1.0, ""clf__gamma_mult"": 0.25}"
3,4,80,40,classical/TS+LR,classical,0.925,"{""clf__C"": 0.1}"
3,4,80,40,classical/MDM,classical,0.85,{}
3,4,80,40,classical/CSP+LDA,classical,0.875,"{""csp__nfilter"": 4}"
3,4,80,40,control/riemann-kernel-SVM,control,0.9,"{""clf__C"": 1.0}"
3,4,80,40,control/logeuclid-kernel-SVM,control,0.9,"{""clf__C"": 1.0}"
3,4,80,40,quantum/HS-overlap-SVM,quantum,0.55,"{""clf__C"": 10.0}"
3,4,80,40,quantum/Fidelity-SVM,quantum,0.525,"{""clf__C"": 10.0}"
3,4,80,40,quantum/HS-RBF-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
3,4,80,40,quantum/Bures-RBF-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
3,4,80,40,quantum/QRE-RBF-SVM,quantum,0.75,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
3,4,80,40,quantum/HS-overlap-ref-SVM,quantum,0.9,"{""clf__C"": 10.0}"
3,4,80,40,quantum/Fidelity-ref-SVM,quantum,0.9,"{""clf__C"": 10.0}"
3,4,80,40,quantum/HS-RBF-ref-SVM,quantum,0.9,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
3,4,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
3,4,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.875,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
3,4,160,40,classical/TS+LR,classical,0.925,"{""clf__C"": 0.1}"
3,4,160,40,classical/MDM,classical,0.875,{}
3,4,160,40,classical/CSP+LDA,classical,0.925,"{""csp__nfilter"": 4}"
3,4,160,40,control/riemann-kernel-SVM,control,0.9,"{""clf__C"": 0.1}"
3,4,160,40,control/logeuclid-kernel-SVM,control,0.9,"{""clf__C"": 0.1}"
