subject,pipeline,acc,sec
9,quantum/Bures-RBF,0.4222222222222222,5.688607300000058
9,quantumRS/Bures-RBF-ref,0.48888888888888893,6.717623800000183
9,quantum/QRE-RBF,0.45555555555555555,4.792843800000128
9,quantumRS/QRE-RBF-ref,0.48888888888888893,5.474280099999987
10,classical/CSP+LDA,0.6777777777777778,1.4320357999999942
10,classical/TS+LR,0.7444444444444445,1.9204526999999416
10,classical/MDM,0.6555555555555556,0.14641400000004978
10,quantum/HS-overlap,0.5333333333333334,1.4296168999999281
10,quantumRS/HS-overlap-ref,0.7111111111111111,1.7021389999999883
10,quantum/Fidelity,0.6777777777777778,1.9410063000000264
10,quantumRS/Fidelity-ref,0.7666666666666667,2.3606362000000445
10,quantum/HS-RBF,0.711111111111111,4.055562400000099
10,quantumRS/HS-RBF-ref,0.6666666666666667,4.875491899999815
10,quantum/Bures-RBF,0.711111111111111,5.339875799999845
10,quantumRS/Bures-RBF-ref,0.711111111111111,6.431466600000022
10,quantum/QRE-RBF,0.7,4.734139700000014
10,quantumRS/QRE-RBF-ref,0.6888888888888889,5.5497806000000764
11,classical/CSP+LDA,0.47777777777777775,1.469508899999937
11,classical/TS+LR,0.4,1.9492680000000746
11,classical/MDM,0.48888888888888893,0.14471759999992173
11,quantum/HS-overlap,0.4333333333333333,1.4394137999997838
11,quantumRS/HS-overlap-ref,0.5444444444444445,1.709136499999886
11,quantum/Fidelity,0.4222222222222222,1.9381625000000895
11,quantumRS/Fidelity-ref,0.5222222222222223,2.384316099999978
11,quantum/HS-RBF,0.6222222222222222,4.046536700000161
11,quantumRS/HS-RBF-ref,0.4444444444444445,4.833467599999949
11,quantum/Bures-RBF,0.6333333333333334,5.282070199999907
11,quantumRS/Bures-RBF-ref,0.4222222222222222,6.396969600000148
11,quantum/QRE-RBF,0.6222222222222223,4.764796599999954
11,quantumRS/QRE-RBF-ref,0.4333333333333333,5.71844410000017
