subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
2,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.5833333333333334,0.6242283950617284,"{""C"": 10.0}",144,144
2,0train->1test,reference,quantum/HS-overlap,quantum,0.5833333333333334,0.6020447530864197,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,0train->1test,reference,quantum/Fidelity,quantum,0.5694444444444444,0.6124614197530864,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,0train->1test,reference,quantum/HS-RBF,quantum,0.4930555555555556,0.5567129629629629,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,0train->1test,reference,quantum/Bures-RBF,quantum,0.5069444444444444,0.5679012345679013,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
2,0train->1test,reference,quantum/QRE-RBF,quantum,0.5138888888888888,0.568672839506173,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
2,1test->0train,reference,classical/TS+LR,classical,0.5902777777777778,0.6120756172839505,"{""clf__C"": 10.0}",144,144
2,1test->0train,reference,classical/MDM,classical,0.5486111111111112,0.5268132716049383,{},144,144
2,1test->0train,reference,control/riemann-kernel-SVM,control,0.625,0.615162037037037,"{""C"": 1.0}",144,144
2,1test->0train,reference,control/logeuclid-kernel-SVM,control,0.625,0.615162037037037,"{""C"": 1.0}",144,144
2,1test->0train,reference,quantum/HS-overlap,quantum,0.5833333333333334,0.5889274691358024,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,1test->0train,reference,quantum/Fidelity,quantum,0.5972222222222222,0.6107253086419753,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,1test->0train,reference,quantum/HS-RBF,quantum,0.5902777777777778,0.5775462962962963,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,1test->0train,reference,quantum/Bures-RBF,quantum,0.5833333333333334,0.5775462962962963,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,1test->0train,reference,quantum/QRE-RBF,quantum,0.5763888888888888,0.574266975308642,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
3,0train->1test,sensor,classical/TS+LR,classical,0.9305555555555556,0.9874614197530864,"{""clf__C"": 0.1}",144,144
3,0train->1test,sensor,classical/MDM,classical,0.9375,0.9911265432098766,{},144,144
3,0train->1test,sensor,control/riemann-kernel-SVM,control,0.9652777777777778,0.9888117283950617,"{""C"": 1.0}",144,144
3,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.9166666666666666,0.9591049382716049,"{""C"": 10.0}",144,144
3,0train->1test,sensor,quantum/HS-overlap,quantum,0.6875,0.8055555555555556,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
3,0train->1test,sensor,quantum/Fidelity,quantum,0.6805555555555556,0.7390046296296297,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
3,0train->1test,sensor,quantum/HS-RBF,quantum,0.75,0.8545524691358025,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,0train->1test,sensor,quantum/Bures-RBF,quantum,0.75,0.8549382716049383,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,0train->1test,sensor,quantum/QRE-RBF,quantum,0.75,0.8566743827160493,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,1test->0train,sensor,classical/TS+LR,classical,0.9375,0.9920910493827161,"{""clf__C"": 0.1}",144,144
3,1test->0train,sensor,classical/MDM,classical,0.9305555555555556,0.9915123456790123,{},144,144
3,1test->0train,sensor,control/riemann-kernel-SVM,control,0.9166666666666666,0.9926697530864197,"{""C"": 0.1}",144,144
3,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.9583333333333334,0.9934413580246912,"{""C"": 1.0}",144,144
3,1test->0train,sensor,quantum/HS-overlap,quantum,0.6805555555555556,0.7735339506172839,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
3,1test->0train,sensor,quantum/Fidelity,quantum,0.6319444444444444,0.7093942901234568,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
3,1test->0train,sensor,quantum/HS-RBF,quantum,0.7291666666666666,0.8470293209876543,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,1test->0train,sensor,quantum/Bures-RBF,quantum,0.7222222222222222,0.8578317901234568,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,1test->0train,sensor,quantum/QRE-RBF,quantum,0.7222222222222222,0.8574459876543209,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
3,0train->1test,reference,classical/TS+LR,classical,0.9444444444444444,0.9870756172839507,"{""clf__C"": 0.1}",144,144
3,0train->1test,reference,classical/MDM,classical,0.9652777777777778,0.990354938271605,{},144,144
3,0train->1test,reference,control/riemann-kernel-SVM,control,0.9722222222222222,0.9886188271604939,"{""C"": 1.0}",144,144
3,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.9722222222222222,0.9886188271604939,"{""C"": 1.0}",144,144
3,0train->1test,reference,quantum/HS-overlap,quantum,0.9513888888888888,0.9886188271604939,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
3,0train->1test,reference,quantum/Fidelity,quantum,0.9722222222222222,0.9911265432098766,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
3,0train->1test,reference,quantum/HS-RBF,quantum,0.9722222222222222,0.9888117283950617,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
3,0train->1test,reference,quantum/Bures-RBF,quantum,0.9722222222222222,0.9909336419753086,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
3,0train->1test,reference,quantum/QRE-RBF,quantum,0.9722222222222222,0.9907407407407407,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
3,1test->0train,reference,classical/TS+LR,classical,0.9444444444444444,0.992283950617284,"{""clf__C"": 0.1}",144,144
3,1test->0train,reference,classical/MDM,classical,0.9375,0.9915123456790123,{},144,144
3,1test->0train,reference,control/riemann-kernel-SVM,control,0.9444444444444444,0.9930555555555555,"{""C"": 0.1}",144,144
3,1test->0train,reference,control/logeuclid-kernel-SVM,control,0.9444444444444444,0.9930555555555555,"{""C"": 0.1}",144,144
3,1test->0train,reference,quantum/HS-overlap,quantum,0.9513888888888888,0.9924768518518519,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
3,1test->0train,reference,quantum/Fidelity,quantum,0.9513888888888888,0.9934413580246914,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
3,1test->0train,reference,quantum/HS-RBF,quantum,0.9444444444444444,0.9926697530864198,"{""C"": 1.0, ""gamma_mult"": 0.25}",144,144
3,1test->0train,reference,quantum/Bures-RBF,quantum,0.9513888888888888,0.9947916666666667,"{""C"": 1.0, ""gamma_mult"": 0.25}",144,144
3,1test->0train,reference,quantum/QRE-RBF,quantum,0.9583333333333334,0.9940200617283952,"{""C"": 1.0, ""gamma_mult"": 0.25}",144,144
4,0train->1test,sensor,classical/TS+LR,classical,0.6597222222222222,0.7887731481481481,"{""clf__C"": 10.0}",144,144
4,0train->1test,sensor,classical/MDM,classical,0.6666666666666666,0.7611882716049382,{},144,144
4,0train->1test,sensor,control/riemann-kernel-SVM,control,0.7222222222222222,0.8408564814814815,"{""C"": 1.0}",144,144
4,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.7013888888888888,0.8368055555555556,"{""C"": 1.0}",144,144
4,0train->1test,sensor,quantum/HS-overlap,quantum,0.5,0.496045524691358,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
4,0train->1test,sensor,quantum/Fidelity,quantum,0.4930555555555556,0.4954668209876543,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
4,0train->1test,sensor,quantum/HS-RBF,quantum,0.4722222222222222,0.48225308641975306,"{""C"": 1.0, ""gamma_mult"": 0.25}",144,144
4,0train->1test,sensor,quantum/Bures-RBF,quantum,0.4722222222222222,0.5192901234567902,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
4,0train->1test,sensor,quantum/QRE-RBF,quantum,0.4722222222222222,0.521412037037037,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
4,1test->0train,sensor,classical/TS+LR,classical,0.7222222222222222,0.8528163580246912,"{""clf__C"": 0.1}",144,144
4,1test->0train,sensor,classical/MDM,classical,0.7291666666666666,0.8005401234567902,{},144,144
4,1test->0train,sensor,control/riemann-kernel-SVM,control,0.7430555555555556,0.8472222222222222,"{""C"": 1.0}",144,144
4,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.7222222222222222,0.8260030864197532,"{""C"": 10.0}",144,144
4,1test->0train,sensor,quantum/HS-overlap,quantum,0.4305555555555556,0.4498456790123457,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
4,1test->0train,sensor,quantum/Fidelity,quantum,0.4305555555555556,0.4556327160493827,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
4,1test->0train,sensor,quantum/HS-RBF,quantum,0.4305555555555556,0.43885030864197533,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
4,1test->0train,sensor,quantum/Bures-RBF,quantum,0.4375,0.4392361111111111,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
4,1test->0train,sensor,quantum/QRE-RBF,quantum,0.4375,0.42901234567901236,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
