subject,frame,pipeline,group,accuracy,auc,best
27,sensor,quantum/Bures-RBF,quantum,0.4888888888888889,0.6086956521739131,"{""C"": 10.0, ""gamma_mult"": 0.25}"
27,sensor,quantum/QRE-RBF,quantum,0.4888888888888889,0.5810276679841897,"{""C"": 10.0, ""gamma_mult"": 1.0}"
28,sensor,classical/TS+LR,classical,0.4888888888888889,0.5039525691699605,"{""clf__C"": 1.0}"
28,sensor,classical/MDM,classical,0.5333333333333333,0.5573122529644269,{}
28,sensor,control/riemann-kernel-SVM,control,0.4666666666666667,0.4980237154150198,"{""C"": 1.0}"
28,sensor,control/logeuclid-kernel-SVM,control,0.4444444444444444,0.48616600790513836,"{""C"": 1.0}"
28,sensor,quantum/HS-overlap,quantum,0.4666666666666667,0.466403162055336,"{""C"": 10.0, ""gamma_mult"": 1.0}"
28,sensor,quantum/Fidelity,quantum,0.4888888888888889,0.5,"{""C"": 10.0, ""gamma_mult"": 1.0}"
28,sensor,quantum/HS-RBF,quantum,0.4888888888888889,0.5217391304347826,"{""C"": 10.0, ""gamma_mult"": 1.0}"
28,sensor,quantum/Bures-RBF,quantum,0.5111111111111111,0.5158102766798419,"{""C"": 10.0, ""gamma_mult"": 0.25}"
28,sensor,quantum/QRE-RBF,quantum,0.5111111111111111,0.4980237154150197,"{""C"": 10.0, ""gamma_mult"": 0.25}"
29,sensor,classical/TS+LR,classical,0.9111111111111111,0.9920948616600791,"{""clf__C"": 0.1}"
29,sensor,classical/MDM,classical,0.9111111111111111,0.9822134387351779,{}
29,sensor,control/riemann-kernel-SVM,control,0.9111111111111111,0.9940711462450593,"{""C"": 10.0}"
29,sensor,control/logeuclid-kernel-SVM,control,0.9111111111111111,0.9940711462450593,"{""C"": 1.0}"
29,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.7944664031620554,"{""C"": 10.0, ""gamma_mult"": 1.0}"
29,sensor,quantum/Fidelity,quantum,0.6888888888888889,0.8300395256916996,"{""C"": 10.0, ""gamma_mult"": 1.0}"
29,sensor,quantum/HS-RBF,quantum,0.7555555555555555,0.8241106719367589,"{""C"": 10.0, ""gamma_mult"": 1.0}"
29,sensor,quantum/Bures-RBF,quantum,0.7555555555555555,0.8359683794466404,"{""C"": 10.0, ""gamma_mult"": 0.25}"
29,sensor,quantum/QRE-RBF,quantum,0.7333333333333333,0.8300395256916996,"{""C"": 10.0, ""gamma_mult"": 0.25}"
30,sensor,classical/TS+LR,classical,0.5333333333333333,0.7420634920634921,"{""clf__C"": 0.1}"
30,sensor,classical/MDM,classical,0.5333333333333333,0.7182539682539683,{}
30,sensor,control/riemann-kernel-SVM,control,0.6222222222222222,0.742063492063492,"{""C"": 0.1}"
30,sensor,control/logeuclid-kernel-SVM,control,0.5333333333333333,0.7142857142857142,"{""C"": 10.0}"
30,sensor,quantum/HS-overlap,quantum,0.5333333333333333,0.6031746031746031,"{""C"": 10.0, ""gamma_mult"": 1.0}"
30,sensor,quantum/Fidelity,quantum,0.5555555555555556,0.5793650793650794,"{""C"": 10.0, ""gamma_mult"": 1.0}"
30,sensor,quantum/HS-RBF,quantum,0.5333333333333333,0.5912698412698413,"{""C"": 10.0, ""gamma_mult"": 1.0}"
30,sensor,quantum/Bures-RBF,quantum,0.6222222222222222,0.621031746031746,"{""C"": 10.0, ""gamma_mult"": 0.25}"
30,sensor,quantum/QRE-RBF,quantum,0.6222222222222222,0.5793650793650793,"{""C"": 10.0, ""gamma_mult"": 0.25}"
31,sensor,classical/TS+LR,classical,0.8222222222222222,0.9268774703557312,"{""clf__C"": 10.0}"
31,sensor,classical/MDM,classical,0.7333333333333333,0.8735177865612648,{}
31,sensor,control/riemann-kernel-SVM,control,0.8444444444444444,0.9308300395256918,"{""C"": 0.1}"
31,sensor,control/logeuclid-kernel-SVM,control,0.8444444444444444,0.9426877470355731,"{""C"": 10.0}"
31,sensor,quantum/HS-overlap,quantum,0.7333333333333333,0.8537549407114624,"{""C"": 10.0, ""gamma_mult"": 1.0}"
31,sensor,quantum/Fidelity,quantum,0.7555555555555555,0.9031620553359684,"{""C"": 10.0, ""gamma_mult"": 1.0}"
31,sensor,quantum/HS-RBF,quantum,0.7555555555555555,0.8695652173913043,"{""C"": 10.0, ""gamma_mult"": 1.0}"
